usertime,timeseq,seq,x,y,z,pitch,yaw,roll,latitude,longitude,acc
11:05:32,110532 ,1 ,-0.0185824 ,0.0915118 ,0.0490882 ,415.1941176 ,-248.6411760 ,-211.7823500 ,37.3237210 ,126.9490100 ,3.23463 
11:05:33,110533 ,2 ,0.0166063 ,0.0548313 ,0.0555250 ,419.5625000 ,-245.5875000 ,-212.2687500 ,37.3237900 ,126.9491400 ,3.84866 
11:05:34,110534 ,3 ,-0.0174941 ,0.0331824 ,0.0401059 ,421.8941176 ,-242.7058820 ,-211.6117600 ,37.3238170 ,126.9492200 ,3.85716 
11:05:35,110535 ,4 ,-0.0319412 ,0.0186353 ,-0.0015290 ,423.2823529 ,-241.5941180 ,-213.4117600 ,37.3238620 ,126.9492500 ,4.29394 
11:05:36,110536 ,5 ,0.0265000 ,-0.0306563 ,-0.0157810 ,423.1562500 ,-242.3687500 ,-213.3750000 ,37.3238680 ,126.9493200 ,5.31398 
11:05:37,110537 ,6 ,0.0241765 ,-0.0419118 ,-0.0197180 ,420.6529412 ,-243.3823530 ,-212.1117600 ,37.3239000 ,126.9493600 ,5.75485 
11:05:38,110538 ,7 ,-0.0757706 ,-0.0179471 ,0.0054706 ,418.8823529 ,-244.0941180 ,-211.9823500 ,37.3239400 ,126.9493800 ,6.14182 
11:05:39,110539 ,8 ,-0.0040875 ,-0.0329500 ,-0.0219630 ,417.8500000 ,-244.2125000 ,-215.9875000 ,37.3239870 ,126.9493900 ,6.61622 
11:05:40,110540 ,9 ,-0.0133941 ,-0.0587118 ,-0.0495820 ,415.1411765 ,-246.2117650 ,-216.5058800 ,37.3240390 ,126.9493900 ,6.76235 
11:05:41,110541 ,10 ,-0.0252588 ,-0.0762353 ,-0.0530240 ,411.0352941 ,-249.3352940 ,-217.2764700 ,37.3240940 ,126.9493900 ,6.72128 
11:05:42,110542 ,11 ,-0.0144294 ,-0.0442941 ,-0.0349880 ,406.9470588 ,-252.2705880 ,-218.6941200 ,37.3241490 ,126.9493900 ,6.43132 
11:05:45,110543 ,12 ,0.0210688 ,0.1650500 ,0.1015563 ,410.2687500 ,-250.8750000 ,-218.5375000 ,37.3242950 ,126.9494300 ,5.00685 
11:05:46,110544 ,13 ,0.0532000 ,0.3336588 ,0.2544882 ,425.4058824 ,-240.1823530 ,-217.1705900 ,37.3243200 ,126.9494900 ,5.77412 
11:05:47,110545 ,14 ,0.0534059 ,0.3726824 ,0.2430647 ,446.8764706 ,-225.3176470 ,-213.3176500 ,37.3243340 ,126.9495700 ,6.64138 
11:05:48,110546 ,15 ,0.0183250 ,0.3782875 ,0.2450625 ,467.8812500 ,-211.1062500 ,-211.2562500 ,37.3243380 ,126.9496700 ,6.72944 
11:05:49,110547 ,16 ,0.0091412 ,0.2180647 ,0.1432353 ,485.6176471 ,-199.4411760 ,-210.1823500 ,37.3243470 ,126.9497600 ,7.29012 
11:05:50,110548 ,17 ,-0.0296353 ,0.0129529 ,0.0200118 ,491.0000000 ,-195.5470590 ,-211.0764700 ,37.3243560 ,126.9498500 ,7.27418 
